scrip,ldcp,open_,high,low,current,change,volume
Bata (Pak) Ltd.,"1,569.99",1569.99,1600.0,1506.0,1600.0,26.19,520
Leather Up Ltd.,27.53,25.51,28.89,25.51,28.88,-1.46,996
Service Global,76.04,77.0,77.5,75.0,76.0,-0.04,"18,657"
Service Ind.Ltd,998.88,999.0,1020.0,990.0,999.0,0.12,"76,183"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AKD Hospitality,130.08,128.01,132.32,126.01,126.01,-2.98,"3,031"
AL-Khair Gadoon,44.05,48.45,48.45,48.45,48.45,,3
Diamond Ind.,25.13,22.62,27.4,22.62,26.0,1.07,"2,545"
ECOPACK Ltd,34.30,35.5,36.5,33.62,36.46,1.7,"81,336"
Gammon Pak,25.73,25.01,26.49,24.6,26.0,0.38,"152,812"
Mandviwala,17.19,18.35,18.35,17.2,17.75,0.85,"8,601"
Olympia Mills,50.66,50.7,55.73,50.7,55.65,4.87,"47,329"
Pak Services,922.32,923.61,923.61,902.0,910.0,,18
Pakistan Alumin,108.30,110.94,110.98,104.6,105.0,-3.26,"135,917"
Shifa Int.Hospital,451.22,452.0,452.0,445.0,446.05,-5.08,"7,688"
Siddiqsons Tin,5.16,5.3,5.3,5.06,5.27,0.09,"234,109"
Tri-Pack Films,118.21,119.52,122.0,119.1,122.0,1.05,302
UDL Int.Ltd.,7.90,8.0,8.22,7.6,7.98,-0.28,"3,630"
United Brands,22.87,22.9,25.0,22.9,24.0,1.13,"148,852"
United DistributorXD,61.80,60.45,61.97,60.3,61.25,-0.74,"1,191"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AL-Noor Mod,2.95,2.96,2.96,2.75,2.85,-0.08,"3,726"
B.F.Modaraba,8.34,8.99,9.34,8.72,9.34,1.0,"81,230"
Elite Cap.Mod,20.00,18.07,19.95,18.07,19.78,-0.35,"2,700"
Equity Modaraba,3.10,3.0,3.08,2.9,2.9,-0.09,"5,393"
F.Treet Manuf,3.92,4.18,4.28,3.91,4.15,0.2,"4,518"
Habib Modaraba,21.11,21.21,21.85,21.21,21.84,0.51,"2,158"
I.B.L.Modarab,3.00,3.19,3.5,3.05,3.05,0.05,"37,562"
Imrooz Modaraba,187.88,201.0,206.67,201.0,206.67,13.19,336
OLP Modaraba,16.40,16.39,16.5,16.21,16.21,0.1,"5,701"
Orient Rental,8.92,9.22,9.22,8.92,9.1,0.18,"6,066"
Paramount Mod,6.91,7.5,7.79,7.3,7.35,0.53,803
Popular Islamic,13.78,15.03,15.03,13.76,13.76,,268
Prud Mod.1st,1.99,2.0,2.0,1.92,1.99,-0.01,"34,783"
Punjab Mod,2.77,2.92,2.92,2.8,2.9,0.13,"37,040"
Sindh Modaraba,11.05,11.05,11.05,10.95,10.95,,371
Tri-Star 1st Mod.,12.40,12.4,12.8,12.1,12.8,,34
Trust Modaraba,4.79,4.89,5.09,4.66,4.9,0.15,"552,650"
Unicap Modaraba,2.94,2.83,2.94,2.81,2.84,-0.05,"3,808"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Mari Energies Ltd.,652.96,652.1,657.4,645.01,648.92,-5.6,"1,539,918"
Oil & Gas DevXD,218.66,217.9,217.9,211.5,212.5,-5.99,"9,743,491"
Pak Oilfields,540.47,536.07,541.89,530.25,533.9,-8.85,"245,782"
Pak PetroleumXD,168.03,169.99,172.3,166.75,169.14,1.88,"11,785,256"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Petroleum,451.53,451.53,454.9,448.0,451.97,-2.27,"8,036"
Burshane LPG,28.48,28.01,28.01,27.25,27.65,-1.01,"21,452"
Hascol Petrol,10.12,10.1,10.44,9.98,10.2,0.06,"6,005,820"
HI-Tech Lub.,39.60,39.6,39.9,39.01,39.6,,"105,607"
Oilboy Energy,9.23,9.25,9.26,8.9,9.1,-0.18,"151,676"
P.S.O.,386.10,388.11,388.11,377.0,380.0,-7.19,"4,456,811"
Sui North GasXD,122.97,123.0,123.5,120.65,121.6,-1.49,"6,456,192"
Sui South Gas,32.79,36.07,36.07,34.55,36.07,3.28,"32,384,781"
Wafi Energy PakXD,165.97,166.0,171.1,166.0,170.25,3.08,"116,399"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Century Paper,22.71,22.99,23.89,22.6,23.55,0.78,"238,018"
Cherat Packaging,99.51,97.1,99.99,97.1,99.9,-0.03,"27,552"
Int. Packaging Films,21.21,21.25,21.25,21.0,21.0,-0.21,"46,596"
MACPAC Films,14.80,14.71,14.9,14.5,14.84,-0.1,"49,063"
Merit Packaging,9.55,9.8,9.8,8.55,9.0,-0.54,"257,383"
Packages Ltd.,529.96,525.0,527.9,515.0,524.99,-6.31,"11,980"
Pak Paper Prod,147.28,142.1,147.0,142.0,145.0,-2.88,"2,283"
Roshan Packages,14.56,14.52,14.55,14.3,14.5,-0.07,"27,525"
Security Paper,156.77,156.0,158.99,155.0,156.99,0.22,"7,986"
SPEL LimitedXD,40.40,40.85,41.52,40.0,40.5,0.17,"1,140,269"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abbott Lab.,950.75,950.76,959.0,940.0,950.0,-7.55,"3,889"
AGP Limited,184.75,184.75,185.0,182.01,183.0,-1.74,"95,874"
BF Biosciences,154.48,158.98,159.0,151.01,152.8,-1.28,"1,004,050"
Citi Pharma Ltd,78.24,81.0,83.9,81.0,83.6,4.67,"4,899,022"
Ferozsons (Lab),291.53,291.0,294.8,280.0,283.0,-8.7,"39,466"
GlaxoSmithKline,375.63,378.0,378.0,366.0,368.8,-6.51,"588,318"
Haleon Pakistan,740.93,747.0,748.43,725.0,734.0,-8.08,"53,253"
Highnoon (Lab),914.79,902.0,920.0,901.1,919.99,3.16,"34,192"
Hoechst Pak Ltd,"3,397.93",3204.02,3459.0,3203.33,3260.0,-137.93,557
IBL HealthCare,35.24,35.55,38.76,34.52,38.06,3.06,"1,984,987"
Liven Pharma,58.61,60.99,60.99,57.5,59.0,-0.18,"10,969"
Macter Int. Ltd,351.67,351.67,351.67,332.5,341.95,-11.5,"13,531"
Otsuka Pak,189.53,189.51,208.48,189.4,208.48,18.95,"91,093"
The Searle Company,82.57,83.0,86.93,81.59,83.8,1.2,"5,929,245"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Altern Energy,12.10,12.05,12.1,11.75,11.9,-0.25,"761,329"
Engro Powergen,28.07,28.14,28.45,27.0,27.68,-0.98,"1,060,808"
Hub Power Co.,138.71,138.5,140.6,137.11,138.7,-0.74,"12,915,216"
K-Electric Ltd.,4.34,4.31,4.45,4.27,4.29,-0.05,"15,717,046"
Kohinoor Energy,16.59,16.89,17.15,16.5,16.75,-0.03,"352,982"
Kohinoor Power,6.04,6.15,6.15,5.75,5.75,,2
Kot Addu Power,31.48,31.48,31.5,31.08,31.13,-0.36,"307,979"
Lalpir Power,24.02,23.9,24.45,23.85,23.99,-0.09,"973,196"
Nishat ChunPowerXD,24.05,24.24,24.3,23.07,23.75,-0.57,"815,611"
Nishat PowerXD,36.53,36.53,36.8,35.0,35.52,-1.26,"775,022"
Pakgen PowerXD,120.53,122.0,122.0,117.77,118.0,,145
S.G.Power,7.00,7.12,7.73,7.12,7.5,0.71,"1,457,484"
Saif Power Ltd,11.42,11.49,11.55,11.39,11.55,0.08,"143,612"
Tri-Star Power,6.50,6.55,7.3,6.55,7.0,0.43,"2,164,740"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
B.R.R Guardia Ltd,21.38,23.45,23.45,20.11,21.79,,10
Javedan Corp.,59.80,60.49,63.0,57.0,60.49,0.14,"349,448"
Pace (Pak) Ltd.,5.23,5.23,5.28,5.13,5.15,-0.08,"1,303,561"
TPL Properties,8.26,8.31,8.6,8.2,8.45,0.16,"3,210,334"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Dolmen City,26.01,26.5,26.5,25.95,26.1,0.02,"630,155"
Globe Residency,15.70,17.0,17.0,15.42,15.95,0.13,"11,932"
TPL REIT Fund I,13.80,13.0,13.45,13.0,13.45,,105
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Refinery,557.41,560.0,584.0,550.0,581.0,18.01,"998,285"
Cnergyico PK,7.33,7.25,7.5,7.12,7.5,0.04,"19,025,407"
National Refinery,193.96,193.8,213.36,192.0,213.36,15.24,"1,167,021"
Pak Refinery,29.55,29.6,31.6,29.02,31.48,1.59,"20,536,680"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abdullah Shah,5.68,5.55,5.84,5.22,5.52,-0.1,"82,312"
Adam Sugar,49.91,50.5,50.5,48.66,48.66,-1.22,"1,160"
Al-Abbas Sugar,782.47,805.0,805.0,761.1,780.01,-2.59,601
AL-Noor Sugar,75.88,77.92,78.0,77.0,77.0,,113
Chashma Sugar,65.97,65.99,71.5,65.99,67.0,0.39,"37,388"
Dewan Sugar,5.57,5.75,5.75,5.52,5.66,0.09,"41,255"
Faran Sugar Mills,42.50,45.0,46.75,45.0,46.75,4.25,"21,409"
Habib Sugar,72.74,71.01,73.0,71.01,73.0,0.26,"6,391"
Haseeb Waqas Sugar,9.59,10.24,10.24,9.26,9.3,-0.28,"36,567"
J.D.W.Sugar,913.82,913.82,940.0,900.1,934.0,2.9,98
Jauharabad Sug,45.20,45.0,46.4,41.15,43.0,-0.54,"215,709"
Khairpur Sugar,116.20,116.0,120.0,114.01,120.0,,251
Mehran Sugar,47.50,48.48,48.6,47.0,47.5,-0.16,"3,347"
Mirpurkhas Sugar,27.92,28.0,29.49,28.0,28.75,1.38,"9,032"
Noon Sugar,77.00,78.25,78.25,78.25,78.25,,50
Sakrand Sugar,11.83,11.9,11.9,11.6,11.75,-0.16,"22,819"
Sanghar Sugar,55.39,57.85,60.0,52.1,52.77,4.55,"1,027"
Shahmurad Sugar,359.46,361.68,369.99,355.01,361.0,1.54,"2,687"
Shakarganj Limited,68.07,68.07,71.99,64.16,70.0,1.93,"60,241"
Tandlianwala Sugar,152.16,167.38,167.38,137.01,165.0,12.52,"1,412"
Tariq Corp Ltd.,14.61,14.9,15.1,14.51,14.92,0.39,"17,311"
Tariq Corp(Pref),8.11,8.99,8.99,8.99,8.99,,1
Thal Ind.Corp.,321.01,333.0,333.0,333.0,333.0,,1
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Gatron Ind.,112.43,112.43,112.43,109.0,110.1,-2.33,"4,088"
Ibrahim Fibres,348.43,330.0,345.0,313.6,344.8,-26.51,"5,267"
Image PakistanXD,21.38,21.5,21.95,21.17,21.75,0.31,"1,181,121"
National Silk,42.05,37.85,46.25,37.85,46.21,4.16,699
Pak Synthetics,46.98,47.97,51.68,47.97,51.68,4.54,"48,915"
Rupali Polyester,14.81,14.98,15.5,14.98,15.11,0.3,"28,010"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Air Link Commun,154.88,155.8,157.0,153.2,155.15,0.08,"778,814"
Avanceon Ltd,47.20,47.5,47.99,46.25,47.45,0.14,"1,399,050"
Hum Network,12.93,12.81,13.0,12.6,12.64,-0.06,"360,418"
Media Times Ltd,1.82,1.76,1.94,1.73,1.84,-0.02,"170,923"
Netsol Tech.,134.11,135.0,137.98,133.1,137.5,2.92,"1,542,386"
Octopus Digital,46.92,47.58,48.47,46.12,47.5,0.43,"467,312"
P.T.C.L.,20.13,20.13,20.8,19.9,20.08,-0.08,"4,120,073"
Pak Datacom,103.74,106.0,106.0,100.86,101.99,-2.11,"12,208"
Supernet Technologie,800.00,799.99,800.0,799.99,800.0,,50
Symmetry Group Ltd,14.23,14.34,15.18,14.23,14.95,0.67,"5,703,143"
Systems LimitedXD,537.33,543.0,543.0,534.01,539.99,1.23,"138,554"
Telecard Limited,6.99,6.91,7.3,6.88,7.27,0.22,"11,149,525"
TPL Corp Ltd,4.36,4.49,4.49,4.27,4.35,-0.01,"461,120"
TPL Trakker Ltd,6.59,6.75,6.75,5.9,6.02,-0.53,"842,579"
TRG Pak Ltd,63.29,64.02,66.98,63.49,66.0,2.91,"9,357,394"
WorldCall Telecom,1.26,1.26,1.28,1.24,1.26,-0.01,"22,631,360"
Zarea Limited,15.62,15.65,16.37,15.5,16.09,0.45,"3,192,401"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AN Textile Mill,9.79,10.79,10.79,10.0,10.79,1.0,"5,625"
Artistic Denim,39.51,38.91,40.0,38.8,39.6,-0.21,"11,107"
Aruj Industries,7.71,8.16,8.16,7.74,7.95,0.04,"3,514"
Azgard Nine,7.63,7.6,7.78,7.52,7.63,-0.04,"127,332"
Chenab Limited,6.15,6.0,6.23,5.76,6.1,-0.17,"3,322"
Chenab Ltd.(Pre,2.46,2.46,2.48,2.35,2.47,,"1,764"
Crescent Tex.,13.40,13.26,13.48,13.21,13.48,-0.01,"32,086"
Faisal Spinning,315.00,285.21,322.0,285.21,322.0,,9
Fazal Cloth,133.76,133.76,140.4,126.14,137.94,-3.65,"1,190"
Feroze 1888,60.03,60.0,62.6,60.0,62.6,,21
Ghazi Fabrics,10.17,10.5,11.18,9.85,10.43,-0.26,"204,022"
Gul Ahmed,22.53,22.51,22.91,22.45,22.69,0.13,"78,978"
Hala Enterprise,10.95,10.75,12.05,10.75,12.05,1.1,"314,709"
Int.Knitwear,14.26,14.5,14.5,14.09,14.12,,613
Interloop Ltd.,57.12,57.5,57.5,56.26,57.4,-0.04,"579,144"
Jubilee Spinning,9.00,8.99,9.0,8.7,8.7,-0.28,"6,849"
Khyber Textile,889.21,978.13,978.13,978.13,978.13,88.92,67
Kohinoor Ind.,10.08,10.1,10.39,9.91,10.15,0.01,"23,372"
Kohinoor Mills,31.92,34.95,35.11,29.13,32.8,-2.75,"7,085"
Kohinoor Textile,156.49,160.0,164.89,152.2,164.89,3.92,"6,902"
Masood Textile,54.02,53.5,54.0,53.5,54.0,-0.52,"1,501"
Mehmood Tex.,316.11,316.0,320.0,310.0,315.0,2.24,244
Nishat (Chun.),36.45,36.2,36.21,35.38,35.4,-1.06,"30,289"
Nishat Mills Ltd,113.79,113.99,115.0,110.0,111.0,-2.51,"1,026,466"
Paramount Sp,3.36,3.59,3.59,3.11,3.57,-0.12,"3,180"
Quetta Textile,11.63,11.05,12.19,11.05,11.39,0.51,"5,278"
Redco Textile,25.38,24.06,25.33,24.05,25.33,-0.08,"1,150"
Sapphire Fiber,"1,069.00",1057.5,1068.95,1057.5,1068.95,,13
Sapphire Tex.,"1,100.00",1073.6,1125.9,1073.6,1125.8,,12
Shams Textile,25.04,26.0,26.75,26.0,26.0,1.69,"2,260"
Stylers Int.Ltd.XD,39.00,40.87,40.87,40.87,40.87,,1
Suraj Cotton Mills,112.10,112.1,123.31,111.0,112.02,2.76,"6,180"
Towellers Limited,121.47,124.0,124.0,115.0,120.9,-3.14,"22,324"
ZahidJee Tex.,25.10,25.5,25.65,25.1,25.65,,533
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Ali Asghar Textile,41.05,42.0,43.2,40.5,42.99,1.14,"3,572"
Amtex Limited,2.65,2.76,2.78,2.6,2.65,-0.03,"35,433"
Arctic Textile,19.53,19.12,21.48,19.0,21.48,1.95,"288,473"
Asim Textile,12.95,13.0,13.9,13.0,13.0,0.05,"51,530"
Bilal Fibres,19.59,18.5,20.75,17.63,17.86,-1.87,"711,610"
Chakwal Spinning,45.03,46.0,48.95,42.26,47.32,2.04,"502,466"
Colony Tex.Mills Ltd,3.52,3.6,3.64,3.26,3.54,-0.04,"114,277"
D.S. Ind. Ltd.,4.51,4.57,4.57,4.22,4.4,-0.18,"170,369"
Dewan Farooque Sp.,3.07,2.96,3.1,2.85,3.0,-0.12,"501,148"
Dewan Mushtaq,9.80,8.86,9.79,8.81,8.81,-0.97,"6,983"
Dewan Textile,6.16,6.35,6.35,6.35,6.35,,100
Din Textile,45.00,45.02,48.48,45.02,48.48,3.48,506
Elahi Cotton,125.84,121.02,121.02,121.02,121.02,,19
Gadoon Textile,300.21,310.4,327.0,308.99,317.0,15.54,"24,129"
Gulistan Sp.,7.90,7.26,8.44,7.11,7.73,-0.17,"12,288"
Gulshan Sp.,3.40,3.35,3.6,3.2,3.4,0.05,"7,932"
Hira Textile,3.06,3.2,3.2,3.07,3.12,0.02,"295,174"
Ideal Spinning,13.00,12.03,13.96,12.03,12.71,,81
Idrees Textile,16.93,16.9,16.93,16.9,16.93,,"11,585"
Indus Dyeing,141.25,143.9,144.0,135.0,137.0,-3.69,"63,919"
J.A.Textile,20.35,20.5,21.83,19.8,21.2,0.83,"16,649"
Janana D Mal,51.33,50.51,51.25,50.2,50.2,,3
Khalid Siraj,7.70,7.71,7.71,7.5,7.5,-0.2,"7,501"
Kohat Textile,29.02,29.0,29.0,28.57,29.0,-0.08,"1,810"
Kohinoor Spining,5.16,5.22,5.28,5.05,5.2,,"5,194,519"
Maqbool Textile,35.95,35.95,35.95,35.95,35.95,,417
Nazir Cotton Mills,12.99,12.99,13.5,12.99,13.5,0.16,"55,010"
Premium Tex.,395.00,395.0,395.0,355.5,394.95,,16
Reliance Cotton,423.63,464.63,464.63,430.12,438.0,19.99,131
Ruby Textile,7.22,7.0,7.6,7.0,7.07,-0.15,"3,530"
Saif Textile,8.95,8.9,9.25,8.55,8.76,-0.19,"42,606"
Sally Textile,7.80,8.0,8.45,7.79,8.45,0.25,"1,450"
Sana Ind.,23.46,0,0,0,0,,513
Saritow Spinning,13.10,12.9,13.39,11.82,12.62,-0.16,"53,305"
Service Ind Tex,12.06,12.74,12.74,12.49,12.5,0.56,616
Shadab Textile,24.10,24.88,24.88,23.2,23.25,-0.85,"10,996"
Sunrays Textile,204.38,213.0,217.35,196.06,203.0,-2.36,"44,821"
Tata Textile,40.02,40.0,41.9,40.0,41.0,0.98,"1,409"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Ashfaq Textile,13.26,14.4,14.4,12.01,13.5,-0.24,"5,206"
ICC Industries,10.10,10.44,10.44,9.12,9.98,-0.15,"29,077"
Prosperity Weaving,35.40,36.97,36.98,35.1,35.1,,560
Shahtaj Textile,70.00,63.95,70.99,63.95,70.99,,19
Yousuf Weaving,3.61,3.65,3.65,3.55,3.63,-0.01,"470,401"
Zephyr Textile,10.75,10.8,10.8,10.8,10.8,,200
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Khyber Tobacco,356.92,351.11,392.61,351.11,392.61,33.69,"84,027"
Pak TobaccoXD,"1,185.00",1171.01,1189.55,1171.01,1186.55,-10.83,596
Philip Morris Pak.,"1,081.19",1095.99,1189.31,1070.0,1150.0,74.41,"3,226"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Cordoba Logist,14.42,14.73,15.59,13.71,14.95,0.53,"55,269"
P.N.S.C,258.62,259.01,261.99,255.05,260.0,0.5,"57,261"
Pak Int.Bulk,8.64,8.62,8.7,8.46,8.59,-0.07,"5,635,903"
Pak.Int.Container,38.59,38.5,38.65,38.02,38.2,-0.4,"63,097"
Secure Logistics Gro,15.08,15.14,15.39,14.95,15.03,-0.03,"1,381,133"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Punjab Oil,205.86,210.0,210.0,190.03,198.99,-7.5,"25,772"
S.S.Oil,690.80,750.0,759.88,740.0,759.88,69.08,"56,781"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bannu Woollen,30.65,30.0,30.98,30.0,30.27,-0.41,"23,620"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Blue-Ex,58.35,52.81,64.17,52.6,64.17,0.67,"7,793"
